Environment Id,Observation Space,Action Space,Reward Range,tStepL,Trials,rThresh,Action Meanings
gym-core.IceHockey30FPS-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b0908>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0b38>,"(-inf, inf)",100000,100,None,N/A
wob.mini.ResizeTextarea-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b0e48>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c19e8>,"(-inf, inf)",10000000,100,None,N/A
gym-core.Pong30FPS-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bdbe0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd358>,"(-inf, inf)",100000,100,None,N/A
gym-core.PooyanNoFrameskip-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b0860>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c1e10>,"(-inf, inf)",400000,100,None,N/A
gym-core.AssaultSlow-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705c88>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c1278>,"(-inf, inf)",100000,100,None,N/A
flashgames.Minicarting-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c1320>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c7208>,"(-inf, inf)",20000,100,None,N/A
gym-core.Venture30FPS-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b0dd8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0630>,"(-inf, inf)",100000,100,None,N/A
flashgames.PickAndDig2-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b0cc0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b66a0>,"(-inf, inf)",20000,100,None,N/A
flashgames.Wheelers-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bd160>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd390>,"(-inf, inf)",20000,100,None,N/A
flashgames.ZooRacer-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6fdf28>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b05f8>,"(-inf, inf)",20000,100,None,N/A
gym-core.SolarisDeterministic-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c29b0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bbc88>,"(-inf, inf)",100000,100,None,N/A
gym-core.TimePilotSync-v0,"Box(210, 160, 3)",<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd9b0>,"(-inf, inf)",100000,100,None,N/A
gym-core.JamesbondNoFrameskip-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705e10>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0668>,"(-inf, inf)",400000,100,None,N/A
flashgames.LineGameLimeEdition-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b0d68>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0da0>,"(-inf, inf)",20000,100,None,N/A
flashgames.Match3ChristmasPack-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c7860>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c7ac8>,"(-inf, inf)",20000,100,None,N/A
gym-core.UpNDownSlow-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705dd8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0cc0>,"(-inf, inf)",100000,100,None,N/A
gym-core.SpaceInvaders30FPS-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c7860>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c7ef0>,"(-inf, inf)",100000,100,None,N/A
flashgames.Multitask-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bd710>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c7c88>,"(-inf, inf)",20000,100,None,N/A
wob.real.Signup-9-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c2a90>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c2cf8>,"(-inf, inf)",10000000,100,None,N/A
gym-core.QbertDeterministic-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bb080>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bba20>,"(-inf, inf)",100000,100,None,N/A
flashgames.AmericanRacingLvl18-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705dd8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0e10>,"(-inf, inf)",20000,100,None,N/A
SemisuperPendulumNoise-v0,"Box(3,)","Box(1,)","(-inf, inf)",200,100,None,[-2.0...2.0]
flashgames.BouncyCannon-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705e80>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c7ba8>,"(-inf, inf)",20000,100,None,N/A
flashgames.DoubleEdged-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bbe10>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b6c18>,"(-inf, inf)",20000,100,None,N/A
gym-core.RobotankSync-v0,"Box(210, 160, 3)",<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bb358>,"(-inf, inf)",100000,100,None,N/A
flashgames.AmericanRacingLvl19-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c7c18>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c7e80>,"(-inf, inf)",20000,100,None,N/A
flashgames.CastleRush-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b048>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0780>,"(-inf, inf)",20000,100,None,N/A
flashgames.BloodbathBay-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c7e80>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c7d68>,"(-inf, inf)",20000,100,None,N/A
TwoRoundNondeterministicReward-v0,Discrete(3),Discrete(2),"(-inf, inf)",None,100,None,[0...1]
flashgames.SuperRallyExtreme-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c65fb00>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c65fb38>,"(-inf, inf)",20000,100,None,N/A
gym-core.Gravitar30FPS-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b7438>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b7470>,"(-inf, inf)",100000,100,None,N/A
gym-core.PhoenixNoFrameskip-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bd5f8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd978>,"(-inf, inf)",400000,100,None,N/A
flashgames.QubedMysteriousIsland-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b0978>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0f98>,"(-inf, inf)",20000,100,None,N/A
flashgames.FormulaRacerLvl7-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b6438>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b66a0>,"(-inf, inf)",20000,100,None,N/A
gym-core.WizardOfWor30FPS-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b0f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c65f208>,"(-inf, inf)",100000,100,None,N/A
flashgames.3dLaSupercars2-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b6438>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b6ac8>,"(-inf, inf)",20000,100,None,N/A
flashgames.MidnightCanine-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b7438>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b7710>,"(-inf, inf)",20000,100,None,N/A
ReversedAddition3-v0,Discrete(4),"Tuple(Discrete(4), Discrete(2), Discrete(3))","(-inf, inf)",200,100,25.0,N/A
gym-core.DoubleDunkSync-v0,"Box(210, 160, 3)",<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b7e10>,"(-inf, inf)",100000,100,None,N/A
flashgames.MatchAndSpell-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a2e8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c672080>,"(-inf, inf)",20000,100,None,N/A
gym-core.BeamRiderDeterministic-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705e10>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bb550>,"(-inf, inf)",100000,100,None,N/A
flashgames.V8MuscleCars2-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c661e80>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a550>,"(-inf, inf)",20000,100,None,N/A
gym-core.DoubleDunkDeterministicSlow-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b0f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b64e0>,"(-inf, inf)",75000,100,None,N/A
gym-core.AsteroidsDeterministicSlow-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c661f98>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a630>,"(-inf, inf)",75000,100,None,N/A
flashgames.AeroDefense-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b048>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b07f0>,"(-inf, inf)",20000,100,None,N/A
flashgames.AmericanRacingLvl11-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c661fd0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a278>,"(-inf, inf)",20000,100,None,N/A
flashgames.JungleEagle-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705e10>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bdb00>,"(-inf, inf)",20000,100,None,N/A
flashgames.CoverOrangeJourneyGangsters-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c661ef0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a668>,"(-inf, inf)",20000,100,None,N/A
flashgames.HeatRushUsaLvl6-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c661f60>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b7518>,"(-inf, inf)",20000,100,None,N/A
flashgames.SwapTheDots-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b0f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bbdd8>,"(-inf, inf)",20000,100,None,N/A
flashgames.BubbleHitValentine-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a518>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66aba8>,"(-inf, inf)",20000,100,None,N/A
flashgames.MiniMachines-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c661f60>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c652f28>,"(-inf, inf)",20000,100,None,N/A
flashgames.Stratega-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66aba8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a5c0>,"(-inf, inf)",20000,100,None,N/A
flashgames.MonsterTroubles-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b6518>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b6a90>,"(-inf, inf)",20000,100,None,N/A
flashgames.TheThreeTowers-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b7400>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b7390>,"(-inf, inf)",20000,100,None,N/A
flashgames.CoasterRacer2Lvl6-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a7f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a978>,"(-inf, inf)",20000,100,None,N/A
gym-core.BankHeistDeterministicSlow-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b048>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bb550>,"(-inf, inf)",75000,100,None,N/A
gym-core.FreewaySlow-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a978>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a748>,"(-inf, inf)",100000,100,None,N/A
gym-core.MontezumaRevengeSlow-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705dd8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0940>,"(-inf, inf)",100000,100,None,N/A
gym-core.BeamRiderSlow-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705dd8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c661f60>,"(-inf, inf)",100000,100,None,N/A
gym-core.WizardOfWorSlow-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66ada0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a358>,"(-inf, inf)",100000,100,None,N/A
gym-core.YarsRevenge30FPS-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705e10>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b6208>,"(-inf, inf)",100000,100,None,N/A
flashgames.Skytrip-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a358>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a208>,"(-inf, inf)",20000,100,None,N/A
gym-core.SeaquestDeterministic-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705e10>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c65fb38>,"(-inf, inf)",100000,100,None,N/A
flashgames.30Seconds-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a208>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66ab38>,"(-inf, inf)",20000,100,None,N/A
flashgames.NeonRace2-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b048>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c661eb8>,"(-inf, inf)",20000,100,None,N/A
flashgames.YummyyummyMonsterShooter-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66ab38>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a470>,"(-inf, inf)",20000,100,None,N/A
gym-core.FishingDerbySlow-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705dd8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bb160>,"(-inf, inf)",100000,100,None,N/A
gym-core.KrullNoFrameskip-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a470>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a518>,"(-inf, inf)",400000,100,None,N/A
flashgames.SchoolBusRacing-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b048>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0b38>,"(-inf, inf)",20000,100,None,N/A
SemisuperPendulumRandom-v0,"Box(3,)","Box(1,)","(-inf, inf)",200,100,None,[-2.0...2.0]
flashgames.DiscoverEurope-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bd6d8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd128>,"(-inf, inf)",20000,100,None,N/A
gym-core.SolarisDeterministic-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b0f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c661ef0>,"(-inf, inf)",100000,100,None,N/A
gtav.Speed-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a400>,<universe.spaces.joystick_action_space.JoystickActionSpace object at 0x7f829c6c77f0>,"(-inf, inf)",10000000,100,None,N/A
flashgames.TrafficCollision-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705dd8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c65f080>,"(-inf, inf)",20000,100,None,N/A
gym-core.ChopperCommandNoFrameskip-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c74a8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c76d8>,"(-inf, inf)",400000,100,None,N/A
gym-core.Boxing-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b048>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b78d0>,"(-inf, inf)",100000,100,None,N/A
flashgames.Hotspot-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bdba8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd978>,"(-inf, inf)",20000,100,None,N/A
flashgames.DeepForest3dRace-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b0f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0f60>,"(-inf, inf)",20000,100,None,N/A
flashgames.Moosters-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66aa58>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a780>,"(-inf, inf)",20000,100,None,N/A
gym-core.Solaris30FPS-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c652fd0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c661eb8>,"(-inf, inf)",100000,100,None,N/A
flashgames.RedBeard-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a780>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a470>,"(-inf, inf)",20000,100,None,N/A
gym-core.WizardOfWorNoFrameskip-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c652f98>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b6e10>,"(-inf, inf)",400000,100,None,N/A
flashgames.NewSiberianSupercarsRacing-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a470>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a160>,"(-inf, inf)",20000,100,None,N/A
wob.mini.ClickTest2-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b0f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c65fb70>,"(-inf, inf)",10000000,100,None,N/A
flashgames.ChristmasBubbles-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c652f98>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b7438>,"(-inf, inf)",20000,100,None,N/A
flashgames.EvolutionRacingLvl16-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a240>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66acc0>,"(-inf, inf)",20000,100,None,N/A
flashgames.RubbleRacer-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b0f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd160>,"(-inf, inf)",20000,100,None,N/A
flashgames.SuperK9-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705518>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66acc0>,"(-inf, inf)",20000,100,None,N/A
flashgames.Zombonarium-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6776d8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0898>,"(-inf, inf)",20000,100,None,N/A
flashgames.SaveTheDummyHolidays-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bb6d8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b7e80>,"(-inf, inf)",20000,100,None,N/A
gym-core.WizardOfWorDeterministicSync-v0,"Box(210, 160, 3)",<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bbba8>,"(-inf, inf)",75000,100,None,N/A
flashgames.EvolutionRacingLvl13-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705e80>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c661e80>,"(-inf, inf)",20000,100,None,N/A
OneRoundDeterministicReward-v0,Discrete(1),Discrete(2),"(-inf, inf)",None,100,None,[0...1]
flashgames.HeatRushUsaLvl11-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6a5ef0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0d68>,"(-inf, inf)",20000,100,None,N/A
flashgames.DriveToWreck2-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c65f400>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c65ff60>,"(-inf, inf)",20000,100,None,N/A
gym-core.MontezumaRevengeSlow-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705dd8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bb9e8>,"(-inf, inf)",100000,100,None,N/A
gym-core.BeamRiderDeterministicSlow-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b7400>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b7470>,"(-inf, inf)",75000,100,None,N/A
flashgames.TutiFruti-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c705518>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c661e80>,"(-inf, inf)",20000,100,None,N/A
wob.mini.ClickScrollList-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6a5ef0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c652f28>,"(-inf, inf)",10000000,100,None,N/A
flashgames.AmigoPancho4Travel-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c65fcf8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c65fb00>,"(-inf, inf)",20000,100,None,N/A
flashgames.UltimateEscape-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b79b0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b73c8>,"(-inf, inf)",20000,100,None,N/A
gym-core.FrostbiteDeterministicSlow-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c66a7f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c66a748>,"(-inf, inf)",75000,100,None,N/A
flashgames.GhostClimb2Player-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b0f0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b06a0>,"(-inf, inf)",20000,100,None,N/A
flashgames.HeroSimulator-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bdf28>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd3c8>,"(-inf, inf)",20000,100,None,N/A
flashgames.NeonRace2Lvl13-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64b048>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c661b00>,"(-inf, inf)",20000,100,None,N/A
